"Polska";"Austria";"Belgia";"Czechy";"Dania";"Finlandia";"Francja";"Niemcy";"Grecja";"Wegry";"Irlandia";"Wlochy";"Luksemburg";"Holandia";"Portugalia";"Slowacja";"Hiszpania";"Szwecja";"Wielka Brytania";"Estonia";"Slowenia";"Lotwa";"Litwa";"OECD"
13.29908;8.499076;14.21451;17.85714;14.64855;15.4696;13.01836;15.97357;17.63726;18.06333;13.05518;10.75456;19.58672;16.47118;1.041327;62.43928;14.14512;7.636632;9.7;7.361111;18.90758;6.660681;17.93992;16.61304
13.55942;9.61769;14.29921;18.91892;13.71406;13.27559;12.94382;11.41052;15.39209;17.66573;14.06148;11.36432;18.2722;17.82886;7.008163;67.04307;15.2684;7.669219;7.3;5.899946;26.1533;6.932129;19.52213;15.04156
14.1051;11.97696;15.01441;16.59676;10.85734;12.57402;14.13354;13.45525;14.51957;16.72367;13.56147;12.60086;19.99617;19.92182;7.64658;25.45197;10.96681;6.710821;6.6;8.523797;26.9695;5.642534;17.29459;14.35181
12.52238;12.53874;14.17432;12.77713;8.736855;9.228171;11.16005;14.81564;21.07998;16.96206;13.91626;11.69786;21.25747;17.99724;8.404043;24.11932;13.17198;6.996164;4.7;10.08247;28.00164;5.595555;17.05197;13.27554
9.373144;5.561949;4.675448;1.928375;3.400214;1.036431;0.5778696;10.57021;4.485463;9.430347;1.845238;7.394583;6.857512;10.34024;10.72316;14.77442;4.360222;5.80324;-0.4;9.780078;20.80906;3.382567;1.31104;9.124805
7.139413;5.212686;5.384676;0.422833;3.34441;2.320379;2.183685;12.15746;4.474474;7.667366;0.2293578;4.971721;4.555397;8.286302;4.244795;13.92977;3.243369;10.77635;-1.4;10.78306;18.32198;1.394542;1.151333;9.747722
6.430117;-0.8421535;-0.3374116;0.2055499;0.9886714;-3.089167;-2.964146;4.561846;-0.2057943;3.089841;-3.794643;-1.046371;-2.417765;4.116916;3.248516;12.01547;-1.701428;8.062906;-2.7;7.581764;10.67427;1.105845;1.248871;3.558964
4.946594;-7.025094;-6.732938;-1.810657;-1.762608;-7.134164;-6.438847;-2.000572;-13.115;-1.77555;-8.324325;-4.612925;-13.32464;1.056922;2.517853;10.35663;-9.135477;3.629131;-6.1;2.875785;2.355782;-1.163566;-3.491793;-3.309823
4.430165;-4.01361;-3.49191;3.189189;1.016395;-3.619459;-3.144176;-0.4663904;-4.511554;-0.03037841;0.1753361;-4.993064;-8.248313;-0.4977851;-2.14736;1.761567;-3.024827;4.493387;-2.9;1.720481;3.982564;-1.643349;1.402441;-4.715333
3.797511;-3.785807;-5.367798;0.7368421;1.245292;-3.076973;-4.016692;-1.478256;-2.867309;0.6470675;3.203661;-4.29049;-6.606133;0.6200041;1.275602;-0.3985794;-3.084642;0.3640832;-1.4;7.415991;4.079955;-0.05204074;1.429154;-3.976832
3.87853;-2.597488;-3.703299;-2.205128;1.539959;-0.6435611;-2.380842;0.0352233;0.5160722;4.14375;4.11833;-1.832856;-4.527956;2.433555;2.417516;0.722438;-0.8675053;0.9227561;-1.6;7.369875;3.212826;0.2604167;0.29627;-0.6461822
4.372876;0.9836289;0.245602;-0.4214963;4.687623;3.977474;2.01945;3.787777;6.077059;5.463849;6.426887;0.4834303;3.039477;5.519062;3.235344;1.32896;4.070517;5.525586;2.7;9.866103;5.553076;1.447211;3.663854;5.432277
6.388083;3.98527;4.32954;-0.5238345;5.693076;11.98519;7.610381;7.773624;12.54677;7.30851;7.584598;5.240256;9.614489;7.313042;7.974924;19.8494;6.092933;17.81016;5;10.56534;6.751779;3.755551;3.752309;12.62997
4.564569;-0.1556315;-2.788298;-0.1567398;-0.04382741;2.359951;0.7692211;1.884809;-0.730496;3.323262;3.603104;3.241078;1.248401;2.429728;6.092258;17.12674;-0.5620065;12.17399;1.5;1.100324;2.096755;2.78191;0.6241851;6.145697
3.289515;0.3732103;-1.31029;-0.4195071;-0.6629479;3.592875;1.150895;3.109647;1.316514;5.029274;2.172702;2.623515;0.9227445;3.482278;3.463861;20.74627;0.297583;12.19181;2;-1.222651;2.875244;4.022264;0.7884259;6.641817
3.363797;-0.3538928;-0.6515577;-0.2645503;-1.395985;1.672514;-0.2033307;3.290783;2.152471;6.412082;2.99169;1.54766;-1.395283;3.42162;2.252932;21.68819;-0.2558722;11.35073;2.4;-0.2779559;2.30128;5.240594;-0.8027462;4.166227
3.189451;-0.0926692;-2.932764;2.843602;-3.252297;-2.857597;-2.543341;-1.73649;-3.457417;8.2666;2.711497;-0.9298182;-0.5679248;2.147264;1.061856;13.82257;-2.230758;0.7439018;1.6;-1.026823;1.755221;7.108661;-1.07313;1.314126
5.700397;6.482328;7.314642;2.930403;2.32554;4.453215;5.232576;5.049292;9.202848;12.66363;6.581059;1.338099;8.099269;7.407479;3.657301;16.14293;5.04321;4.605378;6.1;8.642766;5.512233;10.8337;2.895153;7.849676
5.527261;8.031368;9.715399;3.475513;4.879084;5.197512;6.888624;6.184308;7.504974;9.895378;11.34133;3.205302;11.12034;6.612115;7.021543;13.81953;7.029278;5.63091;7.1;11.7481;8.491237;11.36477;3.903364;7.84329
5.985301;11.32758;12.45164;6.312997;6.208184;8.660546;10.56646;6.962558;11.71398;9.824512;13.01775;5.656339;17.74476;6.945376;9.720309;13.47815;9.688769;5.062088;10.2;13.6578;11.70809;12.07333;5.265422;11.82668
5.28572;8.509204;10.9229;2.201741;4.626245;3.817783;8.720954;6.521868;11.69011;6.445765;9.978881;5.870439;13.35091;9.883669;8.051575;7.661736;7.284884;1.150941;9.6;13.0849;10.46076;10.37553;5.762558;8.725687
4.935225;8.877094;11.0798;4.37214;6.629665;5.182079;9.253419;7.733478;14.27472;7.415292;11.04418;8.226607;13.86493;9.925578;8.047276;7.964216;8.188523;2.512688;9.5;10.90159;11.51481;9.800047;4.951171;9.015989
6.778718;12.3005;15.04044;8.854961;10.12234;9.974573;13.43873;12.12023;17.45576;8.946797;14.98531;10.32848;18.55787;13.7714;12.80337;9.057342;12.65787;6.225892;13;16.71201;14.6436;12.98932;8.797349;15.43316
5.944789;9.291584;8.970998;10.57884;8.865753;8.006604;9.814439;12.11294;13.29559;6.582075;14.37411;10.36773;15.34859;12.51058;10.4812;16.92408;10.15114;6.60165;11.8;13.31824;10.78753;15.23279;9.34431;14.29656
5.054169;9.961144;12.94428;13.17635;8.982166;10.15076;10.4299;13.29077;14.66544;5.167583;14.16227;10.46296;15.34432;10.52138;12.50559;16.83757;13.2707;7.647874;12.5;13.61168;11.94219;15.02193;9.675952;14.6083
6.594327;9.029422;11.61306;12.90794;8.671314;10.34868;10.66087;12.01372;12.04261;4.248941;11.98011;10.20945;15.63401;10.37804;12.24201;16.16815;12.87355;10.28603;17.8;11.548;11.92452;17.07044;9.031172;15.28495
5.208595;5.54481;4.184002;9.350163;4.14378;4.580615;5.046758;5.787908;9.848976;6.802683;6.856899;8.898443;9.148003;5.683734;6.76872;14.79785;6.331849;6.905617;16.2;5.677656;7.312545;12.76224;5.762596;8.458544
2.724185;0.9006111;3.012693;1.534296;0.106572;-0.9878297;-0.08824215;1.918939;0.245672;10.95283;0.5826051;3.114696;-0.5725191;3.91857;1.277974;7.906977;0.2731587;6.498855;12.1;2.59697;2.24226;6.378365;6.08086;0.001198715
3.726496;1.959525;-0.3495699;1.372289;0.7973328;-0.501537;-0.6228868;2.610929;-1.114183;16.24033;3.195963;1.597204;0.6765857;3.622936;2.06146;1.158504;-1.109898;2.325656;12.1;3.230059;0.1229489;7.568499;4.708469;1.437145
2.855246;1.271712;-3.171013;2.286454;-2.067653;-0.3098445;-1.093857;1.943252;1.075175;16.7361;3.431571;-0.2146043;-0.6022846;4.231448;2.175235;0.8698678;-1.10643;-2.151797;5.1;3.731343;2.599105;6.223337;5.869252;2.5784
2.490987;2.412951;-3.047838;2.736212;-1.747736;-0.3135082;-0.6713235;2.841102;-0.4018645;11.9569;3.54723;-1.595125;-0.7838187;1.339514;1.69854;0.832755;-0.3961499;-4.804912;0.6;8.760044;1.211126;8.398622;6.79512;0.9411833
5.542648;11.15716;7.338314;8.444445;3.43029;8.483583;8.626204;8.469892;14.88828;10.66189;8.522963;4.30893;10.71395;5.815594;8.321714;0.6551724;9.711516;-1.11043;4.5;15.64173;8.492371;19.0193;9.870624;11.39928
7.415953;12.72842;16.32125;12.70742;7.578078;16.77073;12.93494;9.417018;20.11948;11.62563;8.272208;8.895983;14.58262;3.52359;9.415305;3.886864;13.60486;7.848174;9.8;24.74457;13.25745;22.77014;18.17584;13.77989
8.198838;15.86524;26.56987;10.88148;9.758191;17.13749;16.19582;12.27906;18.37205;12.03318;9.679937;12.79579;18.94514;4.049711;10.11702;4.191101;16.37721;11.88044;16.1;26.72585;13.11569;32.28673;18.89148;15.60913
9.56188;13.95765;28.93982;11.27757;10.39049;18.67729;16.72711;13.31854;20.3741;14.09773;13.93379;14.96354;20.60834;10.08057;9.371666;5.041294;17.92009;18.82525;24.4;23.01898;15.86745;30.84742;20.46502;20.77621
7.54717;-0.6882707;10.6969;6.106557;2.961755;1.734139;0.8077525;3.107772;-4.233092;9.075445;3.354937;3.998905;0.3694651;0.03687378;-2.628408;5.173005;0.4107834;8.856484;17.6;18.8298;0.5677175;23.93132;14.69451;-0.3339604
6.259589;-10.03354;-4.841078;1.317319;-4.942775;-10.7862;-10.87134;-2.489011;-16.71396;2.721256;-5.758374;-4.406728;-14.68448;2.805231;-10.50596;3.173543;-9.696907;1.198469;5.6;0.3711287;-4.332778;17.08826;13.87006;-10.35965
5.78759;-12.97912;-17.24325;1.635603;-6.233087;-11.51977;-16.65159;-7.201632;-17.15616;1.073309;-9.003559;-9.653621;-19.51366;0.3322337;-11.4871;2.615461;-13.9627;-0.8753348;-1;-5.894432;-7.497566;5.195308;11.34421;-15.14748
5.633392;-11.90788;-20.0735;0.3365744;-6.646437;-11.44129;-16.1083;-9.229906;-14.09605;2.128571;-12.16216;-12.26348;-18.51725;-11.34615;-9.353046;2.129402;-12.14456;-5.981338;-3.9;-2.779086;-7.350382;-0.2611857;6.857666;-15.66612
5.789474;-2.454519;-12.27481;2.780997;-0.3532411;1.604136;-5.317348;-2.752828;4.5078;4.996247;-4.131317;-6.012147;-5.606524;-3.306061;0.8959289;1.775244;0.653349;-0.9685766;0.5;-1.546818;6.149767;-4.052962;3.161563;0.02047988
6.90153;7.020814;-0.5796255;4.16826;8.365043;11.49014;7.206136;1.853952;25.30017;10.38094;8.027157;0.2445213;9.045194;-6.124465;10.23925;-2.622632;11.72504;8.814587;7.3;11.51345;13.50421;-3.108066;5.278419;10.19689
6.345178;9.568651;10.5514;4.229042;9.921197;10.75602;11.87678;4.316628;33.78047;12.5353;10.75479;3.861254;12.79581;-5.625933;10.37535;-2.46814;14.59116;4.614476;8.2;16.60891;14.37895;3.773414;7.700866;9.204885
4.83559;6.357695;11.99823;4.435334;8.838149;9.128546;9.428376;3.812945;28.43613;9.724275;8.576923;4.42628;8.514482;4.561136;8.114009;-2.999198;10.56773;4.713241;4.2;10.24709;12.67404;10.03866;11.07181;5.332427
6.633499;7.430432;14.77068;5.4115;9.024137;11.27333;10.98247;6.073306;27.59075;10.52036;10.96576;6.154215;10.40917;5.468242;9.195133;-3.008481;13.31162;9.078465;4.8;11.10578;12.13892;11.12082;17.60189;6.753852
8.914101;11.67545;16.73937;7.011747;9.455323;17.19347;14.78744;9.784964;25.41626;10.42471;13.45656;9.883492;14.54089;7.277623;13.19849;8.462178;18.53179;6.562691;9.2;7.957923;11.38293;15.20362;12.0015;10.33542
8.432776;10.01969;16.7194;6.319569;9.200313;15.16462;12.4912;9.644626;15.22634;8.299325;11.1935;10.01766;12.85623;8.106308;11.67601;8.518028;16.11937;8.54788;10.1;5.382499;7.929321;12.83924;11.26332;13.91854
8.856089;10.91582;17.8969;6.923626;9.428451;14.33289;12.29839;10.70874;13.89001;7.179812;11.37088;11.48234;12.72682;9.048736;11.0073;9.887567;15.71509;6.91493;13.7;9.305647;6.718608;12.59253;12.63471;13.77794
10.21255;11.15344;16.19923;8.306596;8.442226;11.83144;10.9928;10.14158;12.72476;10.17759;11.96255;13.80514;11.54431;7.396403;14.97651;11.07078;12.83322;2.538074;15.9;10.08204;7.839333;13.42547;12.23186;10.68913
9.226191;6.979617;12.55704;9.15952;5.833338;6.224066;7.41271;7.384283;13.20596;10.95757;9.579668;15.82654;9.237081;8.367265;11.48643;9.258123;7.777219;0.7611068;9.4;13.19636;8.219839;13.37668;9.43044;7.21945
9.391049;4.041916;5.710122;7.97028;2.185751;3.205313;4.572133;4.940676;10.01441;10.28566;9.495078;15.46082;6.360831;6.575721;10.07958;7.605548;7.790166;-0.7949595;6.1;11.98036;8.608752;8.227062;7.897195;2.591245
8.014528;5.29623;4.409401;6.742323;3.729815;3.84171;5.357775;6.333749;11.22064;9.058083;9.891857;14.04827;7.398656;5.871762;11.51103;6.214264;11.04192;-0.2298987;3.6;9.950748;10.06825;7.087487;6.375763;3.011255
4.985889;3.298969;2.383936;4.871626;1.976874;3.130435;3.255747;4.314418;16.9308;4.706244;8.45463;11.77281;6.006577;7.164499;5.519405;4.857398;8.774913;0.5316654;1;7.383801;6.623134;6.552326;3.171336;3.746289
0.04541326;1.039261;-2.342952;2.074167;-0.09629436;0.1953125;1.75786;2.662246;10.82813;-2.249795;3.062742;4.447436;0.5971681;3.264737;1.535446;-0.4489338;4.76716;-2.659955;3.4;7.980913;4.246981;0.143091;1.670499;2.027567
-2.4592;-0.8920863;-3.875745;0.5630279;-0.9394432;-0.8953553;0.2550722;1.65246;7.423193;-6.553557;-0.6090487;-1.424891;-3.062752;1.041429;-1.047843;-0.6373938;-1.138358;-2.894176;3.2;6.613189;1.837138;-2.261354;-1.077615;0.8601533
-2.151984;-1.108269;-4.088504;0.1563477;-2.087289;-0.3337969;0.6509922;1.08762;7.940013;-5.105811;-0.260492;-1.219582;-2.777587;0.05617453;-1.28228;-0.4674883;-2.152416;-0.4342463;4.6;5.192431;1.416055;-3.499085;-3.342443;2.107557
-2.307348;-2.224123;-4.959583;-0.03138732;-0.7516512;-1.068016;0.2601131;0.1156345;0.4947633;-7.893568;-2.62707;-3.094239;-5.1883;-2.460515;-1.83003;-0.6941493;-1.10607;-1.544899;2.4;3.132134;1.36233;-3.859757;-2.085087;0.1202137
-1.29369;-2.142857;-3.696803;-4.956897;-0.7193635;-1.169591;-1.500289;-2.003745;-1.718362;-8.0011;-1.990767;-3.025799;-4.841739;-2.376527;-1.443354;-2.818489;-1.038132;-3.440463;1;-3.873148;-1.781785;-2.812648;-2.457949;0.8506542
-0.7792803;-0.6097561;-6.589962;-4.07465;1.390989;-0.7340485;-0.1826705;-0.82305;1.508488;-5.767301;-0.5544208;-1.669749;-3.093004;-0.3762824;0.1337146;-1.553813;2.386501;-1.011272;1.1;-3.910761;-0.1110152;-1.260496;-2.939578;2.99314
-0.5040092;-1.695402;-7.211635;-2.653762;0.08840265;-1.451298;-1.555121;-1.842655;0.07717992;-6.120006;-0.4352873;-3.538348;-4.061476;-1.317968;-0.8048378;-1.465984;-0.2091758;-2.006066;0.3;-3.980186;-1.657896;-1.161931;-4.620311;0.9200937
-1.857372;-3.674541;-7.346413;-2.982732;-1.776582;-3.607955;-2.665263;-3.744432;-7.024984;-7.39452;-2.844575;-3.584031;-6.524004;-2.324475;-3.429469;-1.326676;-4.289093;-4.114263;-1.9;-4.276607;-2.080765;-2.731846;-5.490026;-2.898245
-4.644746;-7.855784;-11.2514;-3.206997;-6.826696;-8.284863;-5.408663;-7.328595;-11.68468;-9.954249;-9.214012;-8.221167;-10.58392;-5.849194;-5.723577;-3.204756;-9.693029;-3.262666;-8.4;-6.499009;-6.618539;-2.023892;-13.44347;-11.40188
-3.280203;-5.443391;-5.637474;-1.750973;-6.057399;-3.653713;-2.984717;-5.580936;-9.35926;-6.117464;-5.897887;-6.205122;-6.820358;-3.988711;-1.818714;-2.867072;-6.436337;-3.343575;-6.5;-4.261131;-5.606323;-0.3264475;-10.1008;-9.993454
-3.983422;-7.931936;-3.628437;-3.046825;-6.873982;-6.017732;-5.132203;-7.666076;-10.91252;-7.581971;-8.248324;-6.741225;-10.17554;-5.944682;-3.643214;-3.813376;-9.737338;-6.145166;-7.7;-7.910218;-6.829993;-4.06041;-10.75373;-10.58224
-4.579439;-7.975853;-2.45401;-4.174757;-7.460434;-6.10231;-5.546982;-7.549826;-9.066323;-6.633126;-9.357079;-6.79129;-9.743128;-6.157964;-3.237963;-4.915426;-10.24727;-3.565212;-7.9;-9.473684;-7.779002;-4.600221;-12.67648;-10.14348
-5.136243;-7.574751;-1.625363;-2.643909;-5.078699;-5.082464;-5.782323;-7.683405;-5.244534;-5.601939;-7.879377;-5.282608;-10.29061;-6.802968;-2.893339;-2.741573;-13.09068;-2.257477;-5.7;-7.365275;-6.797734;-8.487972;-7.317066;-8.0006
-5.134942;-6.802721;0.3934923;-3.59736;-4.877264;-6.241915;-4.95453;-7.547751;-3.515282;-5.874092;-8.481447;-7.93623;-12.75219;-7.668903;-3.506446;-2.757901;-13.59573;-1.507909;-4.9;-6.980504;-6.380822;-9.818104;-8.886559;-7.583781
-4.052758;-4.094541;0.9945412;-3.274893;-4.43881;-4.952129;-2.125128;-5.485877;-1.638258;-5.076672;-7.02033;-5.51499;-8.886891;-6.183949;-2.636258;-3.393903;-8.733254;2.354088;-2.1;-3.911548;-4.432271;-7.123572;-8.058982;-5.759611
0.0244858;1.000345;3.119376;-0.6754475;0.6489135;1.650619;1.991875;-0.5512934;8.87362;1.700076;-1.098901;-2.741542;-1.650407;-1.622727;1.847207;-1.915767;1.606391;7.070085;3;2.791515;-0.8022121;-2.059557;-1.636539;0.9521542
5.744789;6.542056;12.34304;2.268821;3.856245;9.397163;10.04873;6.025646;13.41103;8.751754;7.567758;3.948334;7.199911;5.425401;6.623705;-3.897104;15.33579;8.26152;8.4;7.753148;6.850197;5.252588;4.189053;9.617962
3.046324;1.494612;8.072661;1.12975;0.3727772;5.174198;5.31394;2.307245;6.078686;2.701941;2.759796;6.12991;3.938482;2.552357;1.698171;-4.599111;7.931711;4.669931;5.8;4.876802;3.308297;3.664394;3.129252;5.515585
1.674581;0.5553627;5.727084;0.2051984;0.7266106;5.140674;3.789161;1.963096;4.384326;2.224098;1.571575;3.850331;2.558105;3.490775;2.359683;-3.357687;5.39398;6.049186;4.9;5.66636;2.320653;3.46583;4.915015;5.789769
